Address,ID,Assigned To,Provider Name (Linked),Technology,Service Type,City,State,Plans,Requires Follow-Up,Plan 1 - Plan Name,Plan 1 - Monthly Price,Plan 1 - Intro Price,Plan 1 - Intro Period (months),Plan 1 - Regular Price After Intro,Plan 1 - Other Discounts Available (Total Est.),Plan 1 - Other Discounts Available (Notes),Plan 1 - Installation Fees,Plan 1 - Taxes & Fees (Total Est.),Plan 1 - Taxes & Fees Breakdown,Plan 1 - Download Speed (Mbps),Plan 1 - Upload Speed (Mbps),Plan 1 - Data Cap (GB),Plan 1 - Contract Required? (Y/N),Plan 1 - Contract Length (months),Plan 1 - Early Termination Fee,Plan 1 - Contract Key Terms,Plan 1 - Termination Rights,Plan 1 - Low-Income Plan?,Plan 1 - ACP/EBB Eligible?,Plan 1 - BCL Source,Plan 1 - Screenshot,Plan 1 - Phone Recording,Plan 1 - T&C Attachment,Plan 1 - T&C AI Extracted Notes,Plan 1 - Comments,Plan 2 - Plan Name,Plan 2 - Monthly Price,Plan 2 - Intro Price,Plan 2 - Intro Period (months),Plan 2 - Regular Price After Intro,Plan 2 - Other Discounts Available (Total Est.),Plan 2 - Other Discounts Available (Notes),Plan 2 - Installation Fees,Plan 2 - Taxes & Fees (Total Est.),Plan 2 - Taxes & Fees Breakdown,Plan 2 - Download Speed (Mbps),Plan 2 - Upload Speed (Mbps),Plan 2 - Data Cap (GB),Plan 2 - Contract Required? (Y/N),Plan 2 - Contract Length (months),Plan 2 - Early Termination Fee,Plan 2 - Contract Key Terms,Plan 2 - Termination Rights,Plan 2 - Low-Income Plan,Plan 2 - Low-Income Monthly Price,Plan 2 - ACP/EBB Eligible?,Plan 2 - BCL Source,Plan 2 - Screenshot,Plan 2 - Phone Recording,Plan 2 - T&C Attachment,Plan 2 - T&C AI Extracted Notes,Plan 2 - Comments,Plan 3 - Plan Name,Plan 3 - Monthly Price,Plan 3 - Intro Price,Plan 3 - Intro Period (months),Plan 3 - Regular Price After Intro,Plan 3 - Other Discounts Available (Total Est.),Plan 3 - Other Discounts Available (Notes),Plan 3 - Installation Fees,Plan 3 - Taxes & Fees (Total Est.),Plan 3 - Taxes & Fees Breakdown,Plan 3 - Download Speed (Mbps),Plan 3 - Upload Speed (Mbps),Plan 3 - Data Cap (GB),Plan 3 - Contract Required? (Y/N),Plan 3 - Contract Length (months),Plan 3 - Early Termination Fee,Plan 3 - Contract Key Terms,Plan 3 - Termination Rights,Plan 3 - Low-Income Plan?,Plan 3 - ACP/EBB Eligible?,Plan 3 - BCL Source,Plan 3 - Screenshot,Plan 3 - Phone Recording,Plan 3 - T&C Attachment,Plan 3 - T&C AI Extracted Notes,Plan 3 - Comments,Plans 2,Plans 3
231 S 3RD ST,110,Kayley,AT&T,Licensed Fixed Wireless,Commercial,LAS VEGAS,NV,AT&T Internet Air for Business Standard,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3101 E CRAIG RD,111,Kayley,AT&T,Licensed Fixed Wireless,Commercial,NORTH LAS VEGAS,NV,AT&T Internet Air for Business Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630 S RANCHO DR,112,Kayley,AT&T,Licensed Fixed Wireless,Commercial,LAS VEGAS,NV,AT&T Internet Air for Business Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2320 POTOSI ST,114,Miles,BAI Connect,Fiber to the Premises,Commercial,LAS VEGAS,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901 LAS VEGAS BLVD S,113,Miles,BAI Connect,Fiber to the Premises,Commercial,LAS VEGAS,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6350 S DURANGO DR,115,Eddie Joe,BAI Connect,Fiber to the Premises,Commercial,LAS VEGAS,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302 E CARSON AVE,117,Kayley,Cogent Communication,Fiber to the Premises,Commercial,LAS VEGAS,NV,Cogent Communications - Plan TBD,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5225 W CAPOVILLA AVE,118,Kayley,Cogent Communication,Fiber to the Premises,Commercial,LAS VEGAS,NV,,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110 PALMS AIRPORT DR,116,Kayley,Cogent Communication,Fiber to the Premises,Commercial,LAS VEGAS,NV,,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4627 CAMERON ST,122,Kayley,Cox Communications,Fiber to the Premises,Commercial,LAS VEGAS,NV,"Business Internet 300,Business Internet 500,Business Internet 1Gbps,Business Internet 2Gbps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
