Plan Name,Providers,ID,Full Monthly Price,Intro Discount,Intro Period (months),Download Speed (Mbps),Upload Speed (Mbps),Data Cap (GB),Contract Required? (Y/N),Contract Length (months),Early Termination Fee,Other Monthly Fees (Total Est.),Other Monthly Fees (Notes),Termination Rights,BCL Source,Other Discounts Available (Notes),Other Discounts Available (Total Est.),Installation Fees,Comments,Data Cap? (Y/N),Early Termination Fee? (Y/N),Contract Key Terms,Low-Income Plan? (Y/N),Requires Follow-Up,Follow-Up Method,Low-Income Discount Eligible? (Y/N),Low-Income Discount ($),Internet Offer Finder Collection,Service Type,Technology
AT&T Internet 300,AT&T,1,$65.00 ,$15.00 ,12,396.1,385.4,,No,,,$0.08 ,NV State Cost Recovery Charge,,ISP Website,Paperless billing,$10.00 ,$0.00 ,,No,No,,No,,,Yes,$20.00 ,"4847 LANCEWOOD AVE,4608 SHOEN AVE,4500 MAYFLOWER LN",Residential,Fiber to the Premises
AT&T Internet 500,AT&T,2,$75.00 ,$15.00 ,12,657,643,,No,,,$0.10 ,NV State Cost Recovery Charge,,ISP Website,Paperless billing,$10.00 ,$0.00 ,,No,No,,No,,,Yes,$20.00 ,"4847 LANCEWOOD AVE,4608 SHOEN AVE,4500 MAYFLOWER LN",Residential,Fiber to the Premises
AT&T Internet 1000,AT&T,3,$90.00 ,$15.00 ,12,999.6,946.9,,No,,,$0.12 ,NV State Cost Recovery Charge,,ISP Website,Paperless billing,$10.00 ,$0.00 ,,No,No,,No,,,Yes,$20.00 ,"4847 LANCEWOOD AVE,4608 SHOEN AVE,4500 MAYFLOWER LN",Residential,Fiber to the Premises
AT&T Internet 2000,AT&T,4,$155.00 ,$15.00 ,12,2457.6,2414.7,,No,,,$0.20 ,NV State Cost Recovery Charge,,ISP Website,$20/mo discount for 2G; $10 paperless billing,$30.00 ,$0.00 ,,No,No,,No,,,,,"4847 LANCEWOOD AVE,4608 SHOEN AVE,4500 MAYFLOWER LN",Residential,Fiber to the Premises
AT&T Internet 5000,AT&T,5,$255.00 ,$15.00 ,12,4955,5046.3,,No,,,$0.33 ,NV State Cost Recovery Charge,,ISP Website,$90/mo discount for 5G; $10 paperless billing,$100.00 ,$0.00 ,,No,No,,No,,,,,"4847 LANCEWOOD AVE,4608 SHOEN AVE,4500 MAYFLOWER LN",Residential,Fiber to the Premises
AT&T Internet 100,AT&T,6,$55.00 ,$0.00 ,0,132.4,126.1,,No,,,$0.07 ,NV State Cost Recovery Charge,,ISP Website,Paperless billing,$10.00 ,$0.00 ,,No,No,,No,,,,,"4847 LANCEWOOD AVE,4608 SHOEN AVE,4500 MAYFLOWER LN",Residential,Cable
Access from AT&T - 100Mbps Speed,AT&T,7,$30.00 ,$0.00 ,0,100,,,No,,,,,,,,,$0.00 ,,No,No,,Yes,,,No,,"4847 LANCEWOOD AVE,4608 SHOEN AVE",Residential,Fiber to the Premises
Quantum Fiber - Fiber Internet - Up to 500 Mbps,AT&T,8,$55.00 ,$0.00 ,0,527.6,531.7,,No,,,$0.00 ,,,ISP Website,Paying by bank account,$5.00 ,$0.00 ,,No,No,,No,,,,,"6833 ARROYO AVE,4608 SHOEN AVE,4353 THORNDALE PL,4382 THORNDALE PL,4353 THORNDALE PL,4735 ROCKVALE DR,4174 LARKWOOD AVE",Residential,Fiber to the Premises
Quantum Fiber - Fiber Internet - Up to 1 Gig,AT&T,9,$50.00 ,$0.00 ,0,1087.4,1070.6,,No,,,$0.00 ,,,ISP Website,Paying by bank account,$5.00 ,$0.00 ,,No,No,,No,,,No,,"6833 ARROYO AVE,4353 THORNDALE PL,4382 THORNDALE PL,4353 THORNDALE PL,4735 ROCKVALE DR,4174 LARKWOOD AVE",Residential,Fiber to the Premises
Quantum Fiber - Fiber Internet - Up to 3 Gig,AT&T,10,$75.00 ,$0.00 ,0,3252.7,3208.3,,No,,,$0.00 ,,,ISP Website,Paying by bank account,$5.00 ,$0.00 ,,No,No,,No,,,No,,"6833 ARROYO AVE,4353 THORNDALE PL,4382 THORNDALE PL,4353 THORNDALE PL,4735 ROCKVALE DR,4174 LARKWOOD AVE",Residential,Fiber to the Premises
